Şube No	Şube Adı	Şehir	İlçe	Adres	Telefon	Enlem	Boylam	Yemeksepeti	Getir	Trendyol	Migros
1009	İST KAĞITHANE GÜLTEPE (E.K)	İSTANBUL	KAĞITHANE	Gültepe, Talatpaşa Cd. No:40/A, 34410 Kağıthane/İstanbul	(0212) 890 41 21	4107917826.186287	29005184769.403278	https://www.yemeksepeti.com/restaurant/c41m/bereket-doner-c41m	https://getir.com/yemek/restoran/bereket-doner-ortabayir-mah-kagithane-istanbul/
1011	BİNGÖL MİLİAMALL AVM (E.K)	BİNGÖL	MERKEZ	İNÖNÜ MAH. GENÇ CAD. MİLİAMALL AVM NO:78 KAT: 4 D. No: 43 MERKEZ BİNGÖL No: ./Bingöl	0426 502 11 11	3888655098.770736	40495663427.154335	https://www.yemeksepeti.com/restaurant/oyvr/bereket-doner-oyvr	https://getir.com/yemek/restoran/bereket-doner-merkez-inonu-mah-merkez-bingol/
1021	İST BAŞAKŞEHİR OLİMPA AVM (E.K)	İSTANBUL	BAŞAKŞEHİR	Başakşehir mahallesi Erdem Beyazıt Mah No:5 Olimpa Avm Basakşehir/İstanbul	0545 803 42 42	41109203263.511055	28788695660.716236	https://www.yemeksepeti.com/restaurant/i9ra/bereket-doner-i9ra	https://getir.com/yemek/restoran/bereket-doner-basaksehir-mah-basaksehir-istanbul/
1022	İST HALKALI MEYDAN (E.K)	İSTANBUL	HALKALI	HALKALI MERKEZ MAH İKİTELLİ CAD.MEYDAN HALKALI CADDESİ B BLOK NO:9 HALKALI/İSTANBUL	0212 955 50 10	410364563.173463	28788829703.583363	https://www.yemeksepeti.com/restaurant/afh0/bereket-doner-afh0	https://getir.com/yemek/restoran/bereket-doner-halkali-merkez-mah-kucukcekmece-istanbul/
1023	ANK KEÇİÖREN AYVALI	ANKARA	KEÇİÖREN	AYVALI MAH. GAZZE CAD. NO : 4/A KEÇİÖREN ANKARA	0312 512 75 75	39972531124.566566	3282760495.269446	https://www.yemeksepeti.com/restaurant/nfby/bereket-doner-nfby	https://getir.com/yemek/restoran/bereket-doner-kecioren-ayvali-mah-kecioren-ankara/
1024	İST ÜMRANİYE E.A. HASTANESİ (E.K)	İSTANBUL	ÜMRANİYE	Kazım Karabekir, Adem Yavuz Cd. No:38/A, 34764 Ümraniye/İstanbul	0 216 631 9717	4103382543.943676	29102945578.995342	https://www.yemeksepeti.com/restaurant/rm68/bereket-doner-rm68	https://getir.com/yemek/restoran/bereket-doner-kazim-karabekir-mah-umraniye-istanbul/
1025	SAKARYA AGORA AVM (E.K)	SAKARYA	MERKEZ	Arabacıalanı, Eski Kazım Paşa Cd No:10, 54050 Serdivan/Sakarya	0 264 502 4645	40775368795.921074	30380753991.761452	https://www.yemeksepeti.com/restaurant/aqph/bereket-doner-aqph	https://getir.com/yemek/restoran/bereket-doner-serdivan-arabacialani-mah-serdivan-sakarya/
1027	TOKAT NİKSAR (E.K)	TOKAT	NİKSAR	GAZİOSMAN PAŞA CUMHURİYET CADDESİ 60600 NİKSAR /TOKAT	0850 377 08 80	4058963378.328804	3695001268.339384	https://www.yemeksepeti.com/restaurant/bp2c/bereket-doner-bp2c	https://getir.com/yemek/restoran/bereket-doner-niksar-fatih-mah-niksar-tokat/
1028	İST BAĞCILAR MAHMUTBEY	İSTANBUL	BAĞCILAR	Demirkapı, İnsa Metro Point, Maslak Cd. No:6-8K, 34214 Bağcılar/İstanbul	(0212) 955 13 15	4105315643.774089	28831526709.309288	https://www.yemeksepeti.com/restaurant/iw9k/bereket-doner-iw9k	https://getir.com/yemek/restoran/bereket-doner-demirkapi-mah-bagcilar-istanbul/
1031	İST CEVİZLİ AKADEMİ	İSTANBUL	MALTEPE	Cevizli, Tugay Yolu Cd. 20AD, 34846 Maltepe/İstanbul	(0216) 222 04 70	4091844895.863866	29166997209.194584	https://www.yemeksepeti.com/restaurant/ehaz/bereket-doner-ehaz	https://getir.com/yemek/restoran/bereket-doner-cevizli-mah-maltepe-istanbul/
1033	ANK KEÇİÖREN KIZLARPINARI	ANKARA	KEÇİÖREN	Güçlükaya Mah. Kızlarpınarı Cad. No.11/B Keçiören/Ankara	(0312) 361 42 42	3998102938.448795	32873823054.988976	https://www.yemeksepeti.com/restaurant/w62d/bereket-doner-w62d	https://getir.com/yemek/restoran/bereket-doner-kecioren-guclukaya-mah-kecioren-ankara/
1034	İST BAĞCILAR GÜNEŞLİ	İSTANBUL	BAĞCILAR	BAGLAR MAHALLESİ ATAÜRK CADDESİ NO:16 /A BAGCILAR İSTANBUL	0212 955 03 08	41029309679.387985	2882840720.307861	https://www.yemeksepeti.com/restaurant/tqhj/bereket-doner-tqhj	https://getir.com/yemek/restoran/bereket-doner-baglar-mah-bagcilar-istanbul/
1036	ANK MAMAK NATO YOLU	ANKARA	MAMAK	CENGIZHAN MAH. NATOYOLU CAD. ÇAGLA APT NO: 221 E	0 312 636 00 12	39896583833.037918	3292170703.330722	https://www.yemeksepeti.com/restaurant/r7eh/bereket-doner-r7eh	https://getir.com/yemek/restoran/bereket-doner-mamak-cengizan-mah-mamak-ankara/
1037	BURDUR BURÇ MAH.	BURDUR	MERKEZ	Burç Mah. Kışla Cad. Sanatkarlar No: 10 İç Kapı No: F  Burdur	0 555 800 14 15	37717396303.438354	3028114201.766986	https://www.yemeksepeti.com/restaurant/b4pu/bereket-doner-b4pu	https://getir.com/yemek/restoran/bereket-doner-merkez-burc-mah-merkez-burdur/
